/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[63/406 новая статья 63/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-metabo-2020-2021.html
[64/406 новая статья 64/406] https://www.kuvalda.ru/blog/articles/raznoe/chto-obshego-mezhdu-elektrobajkom-i-verstakom-.html
[65/406 новая статья 65/406] https://www.kuvalda.ru/blog/articles/newinstr/chetyre-novyh-sadovyh-instrumenta-interskol.html
[66/406 новая статья 66/406] https://www.kuvalda.ru/blog/articles/newinstr/akkumulyatornye-novinki-interskol-2021-elektroinstrument.html
[67/406 новая статья 67/406] https://www.kuvalda.ru/blog/articles/raznoe/sadovyj-traktor-v-stile-krossovok-air-jordan.html
[68/406 новая статья 68/406] https://www.kuvalda.ru/blog/articles/polz/lentochnopilnyj-stanok-po-metallu-luchshij-vybor-dlya-cehov-i-proizvodstv.html
[69/406 новая статья 69/406] https://www.kuvalda.ru/blog/articles/polz/kak-delayut-gaechnye-klyuchi.html
[70/406 новая статья 70/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-zongshen-bqh-2200-e-s-elektrostarterom.html
[71/406 новая статья 71/406] https://www.kuvalda.ru/blog/articles/polz/v-chem-sekret-kachestvennogo-akb-instrumenta.html
[72/406 новая статья 72/406] https://www.kuvalda.ru/blog/articles/polz/kak-vedut-sebya-li-ion-akkumulyatornye-batarei-na-moroze.html
[73/406 новая статья 73/406] https://www.kuvalda.ru/blog/articles/newinstr/pila-interskol-dpa16518.html
[74/406 новая статья 74/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/stroitelnyj-pylesos-iz-starogo-hlama.html
[75/406 новая статья 75/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/Kak-postroit-biznes-na-rzhavyh-rubankah.html
[76/406 новая статья 76/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/promyshlennye-roboty-v-stolyarnom-dele.html
